programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,625298,,Manglende øvinger,2012,v
BIT,633687,,Manglende øvinger,2011,v
BIT,637272,,Manglende øvinger,2010,v
BIT,647199,E,Bestått,2012,v
BIT,667708,F,Ikke bestått,2012,v
BIT,670031,E,Bestått,2014,v
BIT,673219,E,Bestått,2011,v
BIT,674205,,Manglende øvinger,2010,v
BIT,674205,,Manglende øvinger,2011,v
BIT,674754,C,Bestått,2011,v
BIT,674758,,Ikke møtt,2010,v
BIT,674758,F,Ikke bestått,2011,v
BIT,674758,C,Bestått,2011,s
BIT,674758,,Ikke møtt,2012,v
BIT,674894,C,Bestått,2013,v
BIT,675681,C,Bestått,2013,v
BIT,676380,D,Bestått,2010,v
BIT,676861,A,Bestått,2012,v
BIT,677117,C,Bestått,2011,v
BIT,681040,C,Bestått,2012,v
BIT,681657,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,681657,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,681968,,Ikke møtt,2010,v
BIT,681968,E,Bestått,2011,v
BIT,681973,E,Bestått,2010,v
BIT,682093,E,Bestått,2010,v
BIT,682093,C,Bestått,2013,v
BIT,682868,C,Bestått,2011,v
BIT,683569,E,Bestått,2010,v
BIT,683569,,Ikke møtt,2012,v
BIT,683827,D,Bestått,2010,v
BIT,684529,,Manglende øvinger,2012,v
BIT,684529,,Manglende øvinger,2014,v
BIT,684529,,Manglende øvinger,2015,v
BIT,685039,E,Bestått,2018,v
BIT,685873,,Gyldig fravær,2010,v
BIT,686246,D,Bestått,2010,v
BIT,686263,A,Bestått,2011,v
BIT,688007,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,688007,,Ikke møtt,2011,v
BIT,688862,C,Bestått,2010,v
BIT,689384,E,Bestått,2012,v
BIT,689532,F,Ikke bestått,2010,v
BIT,689532,,Ikke møtt,2010,s
BIT,689776,,Manglende øvinger,2011,v
BIT,689776,C,Bestått,2013,v
BIT,689814,,Manglende øvinger,2010,v
BIT,689814,,Manglende øvinger,2011,v
BIT,689814,,Manglende øvinger,2013,v
BIT,689814,,Manglende øvinger,2014,v
BIT,689815,F,Ikke bestått,2010,v
BIT,690181,D,Bestått,2010,v
BIT,690365,D,Bestått,2010,v
BIT,690374,,Gyldig fravær,2014,v
BIT,690376,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,690376,D,Bestått,2010,s
BIT,690376,C,Bestått,2012,v
BIT,690388,,Gyldig fravær,2011,v
BIT,690388,C,Bestått,2011,s
BIT,690391,F,Ikke bestått,2010,v
BIT,690391,F,Ikke bestått,2010,s
BIT,690391,F,Ikke bestått,2011,v
BIT,690391,F,Ikke bestått,2011,s
BIT,690391,D,Bestått,2012,v
BIT,690392,,Manglende øvinger,2010,v
BIT,690401,F,Ikke bestått,2010,v
BIT,690401,E,Bestått,2011,v
BIT,690569,E,Bestått,2010,v
BIT,691563,,Manglende øvinger,2010,v
BIT,691573,,Gyldig fravær,2010,v
BIT,691573,,Ikke møtt,2010,s
BIT,691573,,Gyldig fravær,2011,v
